MPN,Value,Footprint,Datasheet,Manufacturer,Package,Description,Symbol
CRCW06030000Z0EAHP,0R,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Jumper, 0.33W, 0R, 1%",resistor
CRCW0603100KFKEAHP,100k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 100k, 1%",resistor
CRCW060310K0FKEAHP,10k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 10k, 1%",resistor
CRCW060310R0FKEAHP,10R,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 10R, 1%",resistor
CRCW0603110KFKEAHP,110k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 110k, 1%",resistor
CRCW060312K0FKEAHP,12k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 12k, 1%",resistor
CRCW060313K0FKEAHP,13k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 13k, 1%",resistor
CRCW0603150KFKEAHP,150k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 150k, 1%",resistor
CRCW060315K0FKEAHP,15k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 15k, 1%",resistor
CRCW06031K00FKEAHP,1k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 1k, 1%",resistor
CRCW060320K0FKEAHP,20k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 20k, 1%",resistor
CRCW060324K0FKEAHP,24k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 24k, 1%",resistor
CRCW06032R20FKEAHP,2.2R,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 2.2R, 1%",resistor
CRCW060330K0FKEAHP,30k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 30k, 1%",resistor
CRCW060330K1FKEAHP,30.1k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 30.1k, 1%",resistor
CRCW0603470RFKEAHP,470R,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 470R, 1%",resistor
CRCW060347K0FKEAHP,47k,footprints:RES0603,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Vishay,SMD 0603,"Resistor, 0.33W, 47k, 1%",resistor
